Question,Answer,Class
Is it mandatory for e-commerce operator to obtain registration?,"As per Section 24(x) of the CGST Act, 2017 the benefit of threshold exemption is not available to e-commerce operators and they are liable to be registered irrespective of the value of supply made by them.",ecommerce
Whether a person supplying goods or services through e-commerce operator would be entitled to threshold exemption?,"Section 24(ix) of the CGST Act, 2017 lays down that the threshold exemption is not available to such persons and they would be liable to be registered irrespective of the value of supply made by them. This requirement is, however, applicable only if the supply is made through such electronic commerce operator who is required to collect tax at source under section 52 of the CGST Act, 2017. However, where the e-commerce operators are liable to pay tax on behalf of the suppliers under a notification issued under section 9 (5) of the CGST Act, 2017, the suppliers of such services are entitled for threshold exemption.",ecommerce
"Will an e-commerce operator be liable to pay tax in respect of supply of goods or services made through it, instead of actual supplier?","but only in case of services notified under Sec. 9(5) of the CGST Act, 2017. In such cases tax shall be paid by the electronic commerce operator if such services are supplied through it and all the provisions of the Act shall apply to such electronic commerce operator as if he is the supplier liable to pay tax in relation to the supply of such services. A similar provision for inter-State supply is provided for in Sec. 5(5) of the IGST Act, 2017. (Refer to Notification No. 17/2017- Central Tax (Rate) and 14/2017- Integrated Tax (Rate) dated 28.06.2017).",ecommerce
Will threshold exemption be available to electronic commerce operators liable to pay tax on notified services?,Threshold exemption is not available to e-commerce operators who are required to pay tax on notified services supplied through them.,ecommerce
What is Tax Collection at Source (TCS)?,"e-commerce operator is required to collect an amount at the rate of one percent (0.5% CGST + 0.5% SGST) of the net value of taxable supplies made through it, where the consideration with respect to such supplies is to be collected by such operator. The amount so collected is called as Tax Collection at Source (TCS). (Refer to Section 52(1) of the CGST Act, 2017.)",ecommerce
It is very common that customers of e-commerce companies return goods. How these returns are going to be adjusted?,"e-commerce company is required to collect tax only on the net value of taxable supplies. In other words, the value of supplies which are returned are adjusted in the aggregate value of taxable supplies. (Refer to Explanation to Sec. 52(1) of the CGST Act, 2017.)",ecommerce
What is meant by “net value of taxable supplies”?,"“net value of taxable supplies” means the aggregate value of taxable supplies of goods or services or both, other than the services on which entire tax is payable by the e-commerce operator, made during any month by all registered persons through such operator reduced by the aggregate value of taxable supplies returned to the suppliers during the said month. (Refer to Explanation to Section 52(1) of the CGST Act, 2017.)",ecommerce
Is every e-commerce operator required to collect tax on behalf of actual supplier?,"every e-commerce operator (other than an operator required to pay tax under section 9(5) of the CGST Act, 2017) is required to collect tax where consideration with respect to a taxable supply is collected by such e-commerce operator. (Refer to Section 52(1) of the CGST Act, 2017.)",ecommerce
What time should the e-commerce operator make such collection?,e-commerce operator should make the collection during the month in which the consideration amount is collected from the recipient.,ecommerce
What is the time within which such TCS is to be remitted by the e-commerce operator to Government?,"amount collected by the operator is to be paid to the government within 10 days after the end of the month in which amount was so collected. (Refer to Section 52(3) of the CGST Act, 2017.)",ecommerce
How can actual suppliers claim credit of this TCS?,"amount of TCS paid by the operator to the government will be reflected in the GSTR-2 of the actual registered supplier (on whose account such collection has been made) on the basis of the statement filed by the operator. The same can be used at the time of discharge of tax liability in respect of the supplies made by the actual supplier. (Refer to Section 52(7) of the CGST Act, 2017.)",ecommerce
Is the e-commerce operator required to submit any statement? What are the details that are required to be submitted in the statement?,"every operator is required to furnish a statement, electronically, containing the details of outward supplies of goods or services effected through it, including the supplies of goods or services returned through it, and the amount collected by it as TCS during a month within ten days after the end of such month. The statement will be filed in FORM GSTR-8. The operator is also required to file an annual statement by 31st day of December following the end of the financial year in which the tax was collected. (Refer to Section 52(4) and Section 52(5) of the CGST Act, 2017.)",ecommerce
What is the concept of matching in e-commerce provisions and how it is going to work?,"details of supplies furnished by every operator in his statement for the month will be matched with the corresponding details of outward supplies furnished by the concerned supplier in his valid return for the same month or any preceding month. Where the details of outward supplies declared by the operator in his statement do not match with the corresponding details declared by the supplier, the discrepancy shall be communicated to both persons. (Refer to Section 52(8) and Section 52(9) of the CGST Act, 2017.)",ecommerce
What will happen if the details remain mismatched?,"amount in respect of which any discrepancy is communicated and which is not rectified by the supplier in his valid return or the operator in his statement for the month in which discrepancy is communicated shall be added to the output liability of the said supplier in his return for the month succeeding the month in which the discrepancy is communicated. The concerned supplier in whose output tax liability any amount has been added, shall be liable to pay the tax payable in respect of such supply along with interest on the amount so added from the date such tax was due till the date of its payment. (Refer to Section 52(10) and Section 52(11) of the CGST Act, 2017.)",ecommerce
Are there any powers given to tax officials under the GST Act to seek information on supply/stock details from e-commerce operators?,"Any officer not below the rank of Deputy Commissioner may issue a notice to the electronic commerce operator to furnish such details within a period of 15 working days from the date of service of such notice. (Refer to Section 52(12), (13) and (14) of the CGST Act, 2017).",ecommerce
"The sellers supplying goods through e-Commerce operators (ECO) may have common places of business, especially if their goods are stored in a shared facility operated by the ECO. This will result in the same additional place of business being registered by multiple suppliers. Is this allowed?","this is allowed. Any registered person can declare a premises as a place of business if he has requisite documents for use of the premises as his place of business (like ownership document, agreement with the owner etc.) and there is no restriction about use of a premises by multiple persons. The registered person shall have to comply with the requirements of maintaining records as per section 35 of the CGST Act, 2017 and Rules 56 to 58 of the CGST Rules, 2017.",ecommerce
Do travel agents providing services through digital or electronic platform qualify as ECOs? Will they be required to collect tax at source as per the provisions of Section 52 of the GST Act?,"travel agents providing services through digital or electronic platform will fall under the category of ECOs liable to deduct TCS under Section 52 of the CGST Act, 2017.",ecommerce
There are transactions in which two or more ECOs are involved. In such cases who would deduct the TCS?,"such cases, each transaction needs to be treated separately and examined according to the provisions of Section 52 of the CGST Act, 2017. The TCS will be deducted accordingly.",ecommerce
"There are cases in which the ECO does not provide invoicing solution to the seller. In such cases, invoice is generated by the seller and received by the buyer without ECO getting to know about it. The payment flows through the ECO. In such cases, on what value is TCS to be collected? Can TCS be collected on the entire value of the transaction?","52(1) of the CGST Act, 2017 mandates that TCS is to be collected on the net taxable value of such supplies in respect of which the ECO collects the consideration. The amount collected should be duly reported in GSTR-8 and remitted to the Government. Any such amount collected will be available to the concerned supplier as credit in his electronic cash ledger.",ecommerce
"GST requires a dealer to maintain a consecutive serial number for invoices. If we are supplying from multiple locations, do we need to centrally maintain the invoice numbers serially?","46 of the CGST Rules, 2017 provides that invoice may have  ""a consecutive serial number not exceeding sixteen characters, in one or multiple series, containing alphabets or numerals or special characters hyphen or dash and slash symbolised as “-” and “/” respectively, and any combination thereof, unique for a financial year"". Therefore, a supplier can have multiple series for the same year, so long as the same series is not used across financial years. Therefore, you may have a different invoice series for each location having consecutive serial numbers running across that series.",ecommerce
There are sellers who are selling exempted or zero-tax goods like books through ECOs. Will marketplaces be required to collect TCS on such supplies?,"per Section 52(1) of the CGST Act, 2017 TCS is to be collected on “the net value of taxable supplies” made through an ECO. When the supply itself is not taxable, the question of TCS does not arise.",ecommerce
I am a supplier selling my own products through a web site hosted by me. Do I fall under the definition of an “electronic commerce operator”? Am I required to collect TCS on such supplies?,"per the definitions in Section 2 (44) and 2(45) of the CGST Act, 2017, you will come under the definition of an “electronic commerce operator”. However, according to Section 52 of the Act ibid, TCS is required to be collected on the net value of taxable supplies made through it by other suppliers where the consideration is to be collected by the ECO. In cases where someone is selling their own products through a website, there is no requirement to collect tax at source as per the provisions of this Section. These transactions will be liable to GST at the prevailing rates.",ecommerce
We purchase goods from different vendors and are selling them on our website under our own billing. Is TCS required to be collected on such supplies?,"According to Section 52 of the CGST Act, 2017, TCS is required to be collected on the net value of taxable supplies made through it by other suppliers where the consideration is to be collected by the ECO. In this case, there are two transactions - where you purchase the goods from the vendors, and where you sell it through your website. For the first transaction, GST is leviable, and will need to be paid to your vendor, on which credit is available for you. The second transaction is a supply on your own account, and not by other suppliers and there is no requirement to collect tax at source. The transaction will attract GST at the prevailing rates.",ecommerce
"If I have multiple manufacturing units in a State/UT, do I have to register all my companies separately or as a group?","shall be granted a single registration in the State/UT. However, you have the option to take separate registration for each of your business verticals (as defined in section 2(18) of the CGST Act, 2017) in the State/UT.",foodprocessing
A registered person is sending semi-cooked food from his manufacturing unit at Gurgaon to his branch in Delhi. Is he required to pay any tax?,"accordance with the provisions of section 25(4) of the CGST Act, 2017, branches in different States are considered as distinct persons. Further, as per Schedule I, this constitutes supply made in the course or furtherance of business between distinct persons even if made without consideration. As it is an inter-State supply, the registered person is required to pay IGST.",foodprocessing
A registered person is supplying manufactured food products to another person. Transportation charges are required to be paid by the supplier but are actually paid by the recipient. Whether this transportation charges would be added in the supply value?,"the supplier is liable to pay any amount in relation to a supply, such amount would be a part of transaction value, even if  the same has been paid by the recipient.  In this case, the transportation charges shall be added to the value of supply.",foodprocessing
A registered person is a manufacturer of taxable food items. His factory is  in rental premises. Whether this person is eligible to claim ITC on tax charged  on the rental amount?,the person is eligible to claim ITC of tax charged on the rental amount.,foodprocessing
Whether the supplier can reduce the tax elements against goods returned to him?,the person is eligible to reduce the tax liability by issuing credit notes to his recipient for such returned goods subject to the condition that the recipient reduces the claim of ITC to that extent if ITC was availed by him. (Credit Note must bear reference of original invoice No.),foodprocessing
What  will  be  the  rate  of  tax on  cold drinks (non- alcoholic beverages) and ice cream when served in non-AC Restaurant along with food ?,"rate of tax shall be 12 %. In the event of the supply being made in an AC restaurant, the rate of tax shall be 18%. If the restaurant was availing compoistion scheme (can do so only if ice cream is not manufactured by the restaurant), the rate of tax shall be 5% of the aggregate turnover.",foodprocessing
The supplier has sold machinery for hotel industry on 28-06-2017. The purchaser has received the invoice and machinery on 05-07-2017.  Whether   ITC  of Duty / VAT  paid ( under the existing  law )  on   machinery  can  be  allowed  to  be  claimed?,"Such credit is not admissible in case of machinery, being capital goods. As   per   Section 140 ( 5 ) of the CGST Act, 2017,   credit of eligible duties and taxes in respect of only  inputs  / input  services  in transit during  transition  from Pre-GST  to  Post-GST    is  allowable. This is subject to the condition that the tax on such supply is paid under the existing law and the recipient records this receipt in his books of accounts within thirty days of the appointed day.",foodprocessing
Is Atta / Maida/ Besan supplied in bulk  liable to tax under GST?," supply  of  these  goods  if  effected  without  registered  brand  name   is  exempt  under  GST.  However ,  if  the  outward  supply  is  made    under a registered  brand  name   and  put  up  in  unit  container  then  it  would  be  liable  to  tax  @ 5%.",foodprocessing
"I am a whole seller of rice dealing in both branded and un-branded rice. I purchase them locally (i.e. from within the State) and also from outside the State (inter-State purchase). In the last financial year my turnover was Rs 5.5 Crore. Today, I am not registered under VAT. My questions are:-","Will I have to get myself registered now? Rice put in a unit container and bearing a registered brand name is taxable @ 5%. In accordance with the provisions of section 22 of the CGST Act, 2017 (applicable in your case), a person becomes liable to be registered in the State/UT from where he makes taxable supply of goods or services or both if his aggregate turnover (which includes value of exempt supplies as well) in a financial year exceeds Rs. 20 Lakh. Hence, liability to get registration accrues in your case from the date the aggregate turnover in the current financial year exceeds Rs. 20 lakh. ",foodprocessing
Will I get ITC on the IGST paid on branded rice lying in stock on the date prior to the date of my liability?,"a person who takes voluntary registration is entitled to take credit of input tax in respect of inputs held in stock on the day immediately preceding the date of grant of registration. In this connection, section 18(1)(b) read with section 25(3) of the CGST Act, 2017 refers.",foodprocessing
"Will I get ITC on CGST & SGST paid on packing materials, office stationery, computer and accounting software purchased and lying with me as stock as business assets on the date preceding the date from which I have become liable to pay tax under GST?","person who takes voluntary registration is entitled to take credit of input tax in respect of inputs held in stock and inputs contained in semi–finished or finished goods held in stock on the day immediately preceding the date of grant of registration.  Two important points being that the goods in stock must qualify as “input” and that the tax paid at the time of its purchase must qualify as “input tax” under GST.  Any goods which have been capitalised in the books of account will not be treated as an input. Hence credit on computers will not be available if the value of the same has been capitalized in the books of accounts. Further, in terms of section 18(1)(b) of the CGST Act, 2017, taxes paid on accounting software which were acquired before registration will not be available as credit since credit is not available in respect of services in such cases.  Other than that, credit shall be available on CGST/SGST paid on packing materials, etc. subject to conditions and restrictions spelt out in sections 16 to 18 of CGST Act, 2017.",foodprocessing
When shall I start charging tax i.e. from the date I apply for registration or only after I have got my registration number?,Only from date the registration has been granted. ,foodprocessing
Will I have to issue tax invoice for all sales that I make i.e. branded or un-branded after getting registered?,"put up in a unit container and bearing a registered brand name  is taxable @ 5%   and tax invoice has to be issued for supply of taxable goods [ Section 31(1) of the CGST Act, 2017 read with Rule 46 of the CGST Rules, 2017]. For sale of goods exempt from tax i.e. unbranded rice, a bill of supply has to be issued [ Section 31(3)(c) of the CGST Act, 2017 read with Rule 49 of the CGST Rules, 2017].",foodprocessing
Is it compulsory to show the tax amount separately on the face of the tax invoice?,"it is mandatory under section 33 of the CGST Act, 2017.",foodprocessing
"I have three shops in the city, can I issue tax invoices using prefix for these different locations?","It may, however, be ensured that  the invoice  conforms to the requirements under Rule 46(b) of the CGST Rules, 2017.",foodprocessing
Is place of supply required to be mentioned in the tax invoice for local sales also?,"Under Rule 46(b) of the CGST Rules, 2017, the place of supply along with the name of the State is required to be mentioned in case of an inter–State supply only.",foodprocessing
"Caterpillar is a restaurant cum bar in Kolkata. It has successfully migrated to GST. While the first floor area of the restaurant is air conditioned and supplies food as well as liquor, the ground floor serves only food and is non-air-conditioned. Cater pillar wants to know,–","Whether they will charge GST @ 12% on supplies made from ground floor or 18%?Tax will have to be charged @ 18% irrespective of from where the supply is made, first floor or second floor. If any part of the establishment has a facility of air conditioning then the rate will be 18% for all supplies from the restaurant. ",foodprocessing
"As per Chapter 53 heading 5303 of the GST rate schedule, raw jute has been kept at the NIL rate slab. Thus, it is presumed that suppliers dealing only in raw jute are not required to register themselves under GST. But Jute Mills are asking their raw jute suppliers to mandatorily register themselves else their supplies would not be accepted. Please clarify whether raw jute suppliers are liable for registration?","jute has been kept at NIL rate of GST i.e. there would be no tax on raw jute. Therefore, as per Section 23 (1)(a) of the CGST Act, 2017 the suppliers dealing only in raw jute are not required to register. ",textiles
Cotton under chapter heading 5201 and 5203 has been kept in 5% rate slab. Does this mean that cotton farmer is required to register under GST?,"As per Section 23(1)(b) of the CGST Act, 2017 an agriculturist, to the extent of supply of produce out of cultivation of land is not liable to registration.",textiles
Does the buyer of raw cotton (who is a registered person) from the farmer need to pay GST on Reverse Charge basis?,"As the cotton under heading 5201 and 5203 has been placed under 5% rate and the cotton farmer is not liable to registration, the buyers of raw cotton (who are registered persons) from the farmers are required to pay tax on reverse charge basis as per Section 9 (4) of the CGST Act, 2017.",textiles
"In respect of goods classified under Chapters 61, 62 and 63, the rate of tax for goods of sale value not exceeding Rs.1000/- is 5% and for those exceeding Rs.1000/- is 12%. Is this value transaction value or MRP?","per the rate schedule, all goods of sale value not exceeding Rs.1000/- per piece would be taxed at 5% and the goods of sale value exceeding Rs.1000/- per piece would be taxed at 12%. Therefore, it is the sale value i.e. the transaction value on which the tax has to be paid and not the MRP.",textiles
No rates have been announced for Jute bags and Jute blended bags. It is feared that they may be placed under Chapter 42 for leather wherein the rate for leather bags is indicated as 28%. It is suggested that the Jute bags may be kept at zero % to promote production of green Jute Diversified products for combating pollution and safe guarding environment?,bags made of jute are clearly specified in the rate schedule under heading 4202 22 30. The rates for Hand bags and shopping bags of jute is 18%.,textiles
"Man-made textile yarns have been kept at 18% while fabrics have been kept at 5%. If I buy yarn worth Rs. 100 by paying tax at 18% i.e. Rs. 18/- and I sell grey fabrics at Rs. 150/- considering 50% value addition by paying tax at 5% i.e. Rs. 7.50, what will be the treatment of remaining input credit of Rs. 11.50. Whether I would get refund of remaining credit and how much credit would I get?",will be eligible for full ITC of Rs. 18/- paid on your inputs i.e. yarn but whatever credit remains unutilized will remain in your electronic credit ledger and no refund of the same will be allowed. ,textiles
I have a manufacturing unit of Cotton trouser where customer gives me fabric and I have to convert it into trouser. What would be the rate applicable on me 5 % or 18 %?,"services provided by you fall under the category of job work by virtue of the definition of job work provided under Section 2 (68) of the CGST Act, 2017. The rate for job work in relation to trouser, which is a wearing apparel, is 18%.",textiles
"We are manufacturing Floor Coverings falling under Chapter 57. As per GST Council meeting dated 11.06.2017, the rate on Coir mats, mattings and floor coverings falling under Chapter 57 have been reduced from 12% to 5%. Kindly clarify as to whether rate of 5% will be applicable on all types of mattings and floor coverings of Chapter 57 or only to those made of coir?",rate will apply to only the specified items of coir.,textiles
"We are in Furnishing Fabrics Industries for curtain and upholstery fabrics. We mainly deal in Woven, Knitted, Polyester and Coated fabrics.   You are requested to help us to know the chapter number under which our fabrics as mentioned herein above are covered and GST rate applicable to us?",woven fabrics are classifiable under the various headings depending upon their composition. The knitted or crocheted fabrics fall under Chapter 60. Polyester fabrics fall under Chapter 54 and 55 and Coated fabrics fall under Chapter 59.,textiles
"There is a gross confusion on the tax applicable for Embroidered Sarees and Fabric.  Typically, principal manufacturers supply fabric/Sarees to Job workers and get various embroidery designs done on the fabric/sarees. We understand that the textile jobworker would charge an output supply GST of 5% on the composite jobwork supply. This embroidery fabric/saree are then sold by the principal manufacturers to wholesale and retail sellers. What would be the output GST applicable on such embroidered fabric/sarees when the same is sold by the principal manufacturer?","rate of 5% would be chargeable on the job process relating to the textile yarns (other than Man Made Fibre/Filament) and fabrics. Sarees are treated as fabrics and a saree remains fabrics only as no new item emerges having distinct name, character and use. Stitching of two or more different kinds of fabrics also does not take away its classification. Therefore, the sarees whether embroidered or not would be taxed at the same rate at which the fabric is taxed.",textiles
Will the 5 % fabric GST be applied or 12% GST of embroidery strips / badges be applied?,strips/ badges (narrow woven fabrics) are classified under heading 5810 and chargeable to tax at 12%.,textiles
What is the difference between Fabric and Made-ups? Whether Shawl is a fabric or apparel or made-up. What is the rate on Shawls?,"fall in the category of articles of apparel and clothing accessories and are classified under heading 61.17, if knitted or crocheted and under heading 62.14, if not knitted or crocheted. The rate of tax is 5% if the sale value of shawl does not exceed Rs.1000/- per piece and the rate is 12% if the sale value exceeds Rs.1000/- per piece.",textiles
Dress material are sold by length. They can include upto 3 pieces. These can be plain or embroidered (value-addition or further worked upon). Where should dress material be classified?,"sets are classified under heading 6307 and the rate of tax on the dress materials/patterns is similar to the apparels i.e. for dress material of sale value not exceeding Rs.1000/-, tax at 5% would be charged and for dress material of sale value exceeding Rs.1000/-, tax at 12% would be charged.",textiles
"Please clarify the ITC (HS) of yarn made from worn clothing, the material composition of which varies from lot to lot. It is uncertain as the clothing may be of cotton/woollen/man made fibre?","HSN, the classification of yarn is on predominance basis. So the yarn having predominance of wool would fall under Chapter 51. If all kinds are in equal proportion i.e. no fibre is predominant, it will get classified in the chapter covering the fibre last in the numerical order, so Chapter 54 or 55 in case MMF are present.",textiles
What would be the GST rate on old cotton dhoti used for cleaning purpose? It is a used product recycled for cleaning purpose. Is there any GST on old dhoti because there is no VAT on old dhoti?,"is classifiable under Chapter 52 or Chapter 54 as fabrics. Old dhoti is classifiable under heading 63.09 as worn clothing. The tax for chapter 63 is similar to apparels and related to sale value whereas cotton fabrics/man-made fabrics, irrespective of value, are taxed at 5%. Whatever be the classification, as presumably the old cotton dhoti would be below the sale value of Rs.1000/- per piece, it would be taxed at 5%.",textiles
"I am an un-registered trader dealing in textile fabrics which was exempted from tax under the State VAT Act. If I get registered under the GST Act, will I be eligible to avail of input tax credit on my stock of goods lying on the appointed day?","the goods you are dealing with are exempted from tax under the State Act, you will not be eligible to avail input tax credit as SGST under the SGST Act, 2017 on your stock of goods lying on the appointed day.",textiles
"I am a manufacturer of readymade garments. If I send any inputs to the job worker, will it be treated as taxable supply under the GST Act? Can I supply the goods after completion of job work from the place of business of the job worker?","can send your inputs or capital goods to a job-worker for job work without payment of tax and also bring back the same, after completion of job work, within one year or three years respectively.",textiles
