Question,Answer
What details are required to be furnished in the return to be filed by the registered person under the composition scheme? ,
,
,
What is meant by Reverse Charge?,
Is the reverse charge mechanism applicable only to services?,
What will be the implications in case of receipt of supply from unregistered persons?,
How will a recipient who receives a supply under reverse charge mechanism pay GST?,
What is the time of supply of goods in case of tax payable under reverse charge?,
What is the time of supply of service in case of tax payable under reverse charge?,
Can GST paid on reverse charge basis be considered as input tax?,
Can a person take input tax credit without payment of consideration for the supply along with tax to the supplier?,
Whether old gold jewellery sold by an individual to a jeweller will be taxed under reverse charge mechanism?,
Whether old gold jewellery sold by an unregistered supplier will be taxed under reverse charge mechanism?,
Does aggregate turnover include value of inward supplies received on which RCM is payable?,
Whether legal services provided by advocate firm are under reverse charge?,
Is an advocate providing interstate supply chargeable under Reverse Charge liable for registration?,
A person receives a supply from an unregistered person in another state. Whether he has to pay tax on reverse charge basis?,
Who will issue the tax invoice in case of reverse charge supplies?,
Under supply from unregistered dealer the purchaser have to pay GST on RCM basis. so whether stipend paid to intern will also come under RCM?,
Do even small sundry purchases from unregistered persons have to be levied to tax on reverse charge basis?,
A registered person purchases goods worth Rs. 6000/- on a single day from unregistered persons. Whether he has to pay GST on Rs. 1000/- or Rs. 6000/-?,
"If an Assessee pays GST on behalf of an unregistered supplier/SSI/exempted unit, will he be able to take Input Tax Credit of the GST paid on reverse charge basis?",
"Whether, any Indian providing services to PayPal on contract basis is required to pay reverse charges on charges deducted by PayPal?",
"Under the new GST Act, the liability or payment of GST still with consignee or consignor?",
Whether RCM is applicable on payments made for hiring of transport from unregistered GST traders?,
"We are also paying small payments like unloading charges, detention charges and under miscellaneous payments to petty contractors. Is GSTN under reverse charge applicable for these payments?",
Can any unregistered transporter having a turnover below 20 lacks carry the goods for a registered dealer?,
Whether reimbursement of expenses to staff comes under RCM?,
Whether tax under RCM is applicable for expenses incurred towards doctor sponsorship programme?,
,
Whether advertising and communication material (banners/hoardings/posters) provided to distributors would be treated as supply in the course of business by the company thereby not requiring any reversal of ITC.,
"Currently Banks do not pay any VAT on import of precious metals. Banks/nominated agencies pay only customs duty on imports. In the new regime of GST, will the Banks have to pay IGST while importing?",
Banks import gold / silver on consignment basis wherein the ownership of the metal is with the supplier of the bullion which maybe an overseas entity. Is the overseas entity required to have GST registration because currently they do not file returns and are governed by multi-nation treaties?,
Gold and silver imported by banks/nominated agencies on consignment basis are lying in stock as on 1st July. Clarification is required on how to charge the customers in transition phase from VAT to GST. Will customers be liable to pay GST rates?,
Banks lend gold in physical form for a period not exceeding 6 months. Banks receive interest on the gold ounces disbursed and the same is converted into Rupees after calculation of interest on the ounces and the USD/INR conversion. Will the same methodology continue in case of GST as well wherein Banks shall pay a provisional GST (i.e. IGST/SGST/CGST) on ongoing market prices and pay the final GST as and when the prices are fixed?,
"Banks pay provisional VAT currently at the time of delivery of gold on the basis of ongoing market prices. When customer fixes the price of metal, Banks pay actual VAT on the maturity date of the Gold Loan. Banks must be allowed to set-off the excess provisional GST paid to the government against future fixation of prices. In case of excess payment, the same should be refunded on Pan - India basis and not on the basis of States.",
"When we are selling Gold, Diamond or Silver Jewellery to the end consumer (Customer) like a Gold Chain weighing 10 gm at a total value of Rs. 30,000/- (gold value is Rs. 28000/- and making charges on that gold chain is Rs 2000/-), can we charge GST @3% on the total value or @3% on the gold value and @5% on making charges.? ",
"When we issue gold as raw material to our Job Worker for Job Work and he returns that gold as finished goods, what GST treatment will be done and how to calculate the value?",
,
,
Whether software is regarded as goods or services in GST?,
"What are the implications of recognising the development, design, programming, customisation, adaptation, upgradation, enhancement, and implementation of information technology software as a service?",
‘A’ is a dealer in Computers and Computer parts having turnover of Rs. 8 lakh in a year; does‘A’ have to register under GST?,
"The registered person ‘B’ receives small portions of software code from individuals which he then integrates and supply as a package to clients. These individuals are having small turnover of Rs 5 to 10 lakh, and therefore are not registered in GST. Whether there is any liability on ‘B’ in respect of services provided by such individuals?",
What is the rate of tax on IT services?,
Whether exports of software services attract GST?,
How do I determine whether IT services provided by me constitute export of service?,
How do I determine the place of supply of IT/ITES services?,
How to determine the location of the recipient?,
Would I be liable to pay GST on reverse charge even if the foreign supplier of software from whom I buy for use in my firm registered under GST was to accept the payment in Indian Rupees?,
I am an Indian Company who makes software and sells it outside the country. I have hired a firm (not a related party) ‘C’ located abroad to facilitate the supply of software in Europe and the USA; would I be liable to pay GST on the payments that I make to this entity abroad?,
What factors determine the location of ‘C’ (in question 11) as being outside India?,
"I am an agent in India of a foreign IT/ITES provider (principal located outside India).  For agency services, I bill the principal in convertible foreign exchange. Whether GST liability arises in this case?",
"I have more than one SEZ unit in different States; do I need to take separate registrations? Also, I have two SEZ units in one State. Can I take a single registration?",
I have a unit in the DTA and another in the SEZ; can I take a common registration?,
"If I supply a laptop bag along with the laptop to my customer, what would be the rate of tax leviable?",
"I am obtaining online database access services from a company abroad over the net, would I have to pay tax on reverse charge?",
When would it be construed that I have made a supply of services involving temporary transfer or permitting the use or enjoyment of any intellectual property right?,
What special provisions are attracted in GST with regard to associated enterprises?,
What would be the tax liability on replacement of parts (no consideration is charged from a customer) under a warranty and whether the supplier is required to reverse the input tax credit?,
"An Original Equipment Manufacturer (OEM) has an obligation to provide repair services to their customers in the warranty period. This activity is outsourced by OEM to ‘D’, who bills the OEM for the services he provides to the customer. What is the tax liability of ‘D’?",
How will the defective parts be sent to the mother warehouse/repairing centre for repair by the downstream repairing centres? What is the tax liability?,
What is the tax liability in a scenario where supplies are made from multiple locations (in different States) of the supplier to the recipient under a single contract?,
"In the scenario envisaged in previous question, the main branch is said to be entitled to ITC of the GST paid by the other branches. Thus, it is a revenue neutral situation. What are the valuation guidelines for such services?",
Can payment of IGST on reverse charge basis on import of goods/services be done through book entry or ITC?,
Is the requirement of transferring of credit through ISD mechanism mandatory?,
What is the format for invoices to be issued in the case of reverse charge payment of GST?,
"I am a software provider, registered at Mumbai. I supply software to my clients in Bangalore- would I be required to take a registration in Karnataka?",
"I am a software provider, registered at Mumbai. I supply software to my clients in Bangalore- would I be required to take a registration in Karnataka?",
I am an exporter of services. Would I be entitled to refund after the 1st of July (appointed day)?,
,
,
Are all services provided by the Government or local authority exempted from payment of tax?,
Are Government or local authority or governmental authority liable to pay tax?,
What is the meaning of ‘Government’?,
Who is a local authority?,
Are all local bodies constituted by a State or Central Law regarded as local authorities for the purposes of the GST Acts?,
"Would a statutory body, corporation or an authority constituted under an Act passed by the Parliament or any of the State Legislatures be regarded as ‘Government’ or “local authority” for the purposes of the GST Acts?",
Would services provided by one department of the Government to another Department of the Government be taxable?,
What are the transport services provided by the Government or local authorities exempt from tax?,
"Are various corporations formed under the Central Acts or State Acts or various government companies registered under the Companies Act, 1956/2013 or autonomous institutions set up  by special Acts covered under the definition of ‘Government’?",
Are various regulatory bodies formed by the Government covered under the definition of ‘Government’?,
Will the services provided by Police or security agencies of Government to PSUs or corporate entities or sports events held by private entities be taxable?,
The Department of Posts provides a number of services. What is the status of those services for the purpose of levy of tax?,
What is the scope of agency services provided by the Department of Posts mentioned in the Notification No. 12/2017-Central Tax (Rate) dated 28.06.2017?,
"Would services received by Government, a local authority, a governmental authority from a provider of service located outside India be taxable?",
Whether the exemption is applicable to online information and database access or retrieval services received by Government or local authorities from provider of service located in non taxable territory?,
What are the functions entrusted to a municipality under Article 243W of the Constitution?,
What are the functions entrusted to a Panchayat under Article 243G of the Constitution?,
What is the significance of services provided by Government or a local authority by way of tolerating non-performance of a contract for which consideration in the form of fines or liquidated damages is payable to the Government or the local authority?,
"Whether services in the nature of change of land use, commercial building approval, utility services provided by a governmental authority are taxable?",
"Whether fines and penalty imposed by Government or a local authority for violation of a statute, bye-laws, rules or regulations liable to tax?",
Whether services provided by Government or a local authority to a business entity located in a special category State  are subject to tax?,
A small business entity is carrying on a business relating to consulting engineer services in Delhi. Does it need to pay tax on the services received from Government or a local authority?,
What is reverse charge in GST?,
Whether reverse charge is applicable to services provided by Government or local authorities?,
"What is the scope of ‘pure services’ mentioned in the exemption notification No. 12/2017-Central Tax (Rate), dated 28.06.2017?",
Would services in relation to supply of motor vehicles to Government be taxable?,
Can the supplier of services claim the tax paid under reverse charger mechanism as input tax credit?,
What is the concept called ‘tax deduction at source’?,
Whether the deductee can claim the input tax credit on the deduction of tax at source amount?,
Whether an amount in the form of royalty or any other form paid/payable to the Government for assigning the rights to use of natural resources is taxable?,
"Whether a Government Department, required to deduct tax at source, is liable to take registration as a normal taxpayer?",
,
,
"Whether a person can avail the composition scheme on Small Retail Trading of goods if he is holding both incomes like Sale of business: Rs.25 lakh (Small Retail Trader) and Rental income: Rs.12lakhs, whereas the person was registered earlier in VAT Composition Scheme and was paying Service Tax on rental income?",
Can traders selling on ecommerce portals avail composition scheme if their turnover is less than 75 lakhs?,
,
"If an Assessee has two or more units with single registration, how the invoices are to be maintained viz., separate invoices unit wise or single invoice for all units?",
Do we have clarity on when invoice data uploading will begin on the GSTN?,
"Would head offices providing centralized HR, Finance and IT functions also need to raise invoices to its branches?",
Kindly clarify the accounting treatment of Credit Note while raising Invoice after implementation of GST?,
Whether any trader having turnover of less than Rs. 20 lakh needs to sell his goods on proper invoice/billing?,
What is the procedure/documents required for sending free replacement to the customers at free of cost?,
If we are only dealing in exempted items what is the type of invoice we are required to issue to our buyers? Is it bill of supply or regular GST Invoice?,
How the invoicing should be done for free goods given along with sale so that corresponding input tax credit is not required to be reversed for products under scheme?,
"Under GST, how to send demonstration equipment and instruments to customers or branch offices with in India on returnable basis? – No sale is involved",
How to send equipment and instruments to manufacturers’ factory for repairs and calibration with in India on returnable basis? – No sale is involved.,
Clarification is sought on the following: Revision in GSTR  Returns,
Whether customers have to furnish any detail or file any return while availing services from taxi aggregators?,
Whether taxi aggregators can issue any other document in lieu of invoice and issue consolidated invoice for such services?,
"Can a provision be made in the GST Act, to ensure that the invoice number becomes part of the bank statement every time a payment is made?",
,
How can a trader avail ITC while selling goods/services to unregistered/exempted GST traders?,
"Please clarify the procedure of availing ITC on Additional Compensation Cess on some products like Tobacco, Coke, Cigarettes.",
Please clarify ITC Credit status for the following condition:  If Recipient (Good & Service) is registered under GST &  Re-seller/Supplier is under exemption OR composition schemes,
Please clarify ITC Credit status for the following condition: On   GST Deducted Commission for Distributor registered under GST Taxpayer,
Please clarify ITC Credit status for the following condition: if Commission received Without Deducting GST in cases where  distributor under Exemption OR composition Scheme,
How should importers take credit of clean energy cess paid on goods lying as stock 30.06.2017?,
"Since our products are under 0% and we are using various services like telephone, professional charges for which we will be paying GST to our registered service providers and this amount will not be utilized towards any payment of outward goods. Are we eligible for refund on the services obtained and GSTN paid for the same? If yes what is the procedure? If no what is the accounting effect?",
"Whether ITC Transition provisions on goods purchased within the State on which tax on MRP has been paid, covered under 140(3) or 140(1)? If covered under 140(1) then how a credit claim be made, as presently in Vat return only the amount is reflected and it is non-adjustable?",
"Please clarify on availment of input tax credit of GST paid on trucks, commonly used for G.T.A business, Safex, Multi-modal and packing business?",
What will be the Input Credit of newly launched project of building construction after 01.07.2017?,
What are the provisions under CGST Act as to the eligibility of CENVAT credit of service tax on invoices which are received after the appointed date for the services received under the service tax regime?,
How a service Provider can get input GST credit benefit in pure labour Contract under Input Credit?,
GSTR-1 (Point 9)  – As banks are eligible to claim only 50% of Input credit consider excluding banks from reporting of exempt/ non-GST supplies in GSTR-1?,
Clarification is sought for the following: Penal Interest on loans and advances ,
" In case of takeover of a Partnership firm by a Private Limited Company, then who will get the ITC credit? And who should file the GST TRAN-1? ",
"Whether credit is restricted under the GST Act, especially for rent-a-cab Service?",
,
"Whether the job worker (who converts barley into Malt) has to charge GST from the Principal only on the Job Work charges or full value of goods, i.e. (Value of Raw Material + Job Work Charges)?",
"In case of job workers not operating under Notification 214/86-CE (i.e. registered under excise at present), whether they can carry forward the credit availed on RM/PM supplied to them by the principal manufacturer? Also is there any restriction on carry forward of the credit on input services distributed to them by the principal as ISD under Rule 7 of the Credit Rules and remaining unutilized on the day of GST implementation?",
,
Should GST be charged on labour charges in an invoice?,
Would tax be payable on sale of business assets on which no credit was claimed?,
"What kind of facilities provided by employer to employee would be liable to GST? For instance, whether club membership provided will be considered as "" service""?",
PayPal is USA based company. It provides services to its account holders spread worldwide. Whether services given by PayPal would be covered under Section 13(8) of IGST Act?,
Whether 5% GST applicable to the Transport service provider is to be charged on the total freight amount bill?,
Does Rental Income less than Rs. 20 Lac per annum attract GST?,
"In reference to Section 15 of GST, CTT and STT are statutory levy under Income Tax. Is there any GST tax on another governmental Tax, SEBI Fees and Stamp Duty as per Various State Government rates?",
"Provisions of Notification no. 7/2017 are applicable under CGST only. Kindly clarify whether provisions of notification no. 7/2017 will be applicable for SGST ACT, IGST ACT and UTGST ACT?",
Whether GST would be payable in case of demand of excise duty made upon finalization of provisional excise assessment in post GST period?,
What option shall be opted while clearing samples from factory to warehouse location:  a) No GST should be levied but corresponding ITC should be reversed  b) GST should be levied but GST (ITC) paid on samples cleared should be reversed at receiving warehouse location.,
"What is the taxable treatment of the services provided by a Service Provider in respect of such services which are covered under circular 25/2012-Mega Exemption Notification for Government, railways and other Departments? Such Services are exempt from Service Tax, hence who will bear the GST tax element of 18%, the Service Provider or the Principal Employer?",
Normally the Service Provider does not issue invoice in Government Jobs. The Sectional /departmental engineers prepare the measurement books and record the details of work done on a subsequent date. Hence how Point of Service will be reckoned since the Service Provider does not raise the Invoice?,
"In construction work, after raising of the Invoice, physical verification of the same is done by the Engineers of the Client and this work is delayed abnormally: in some instances the period taken goes up to two months, then how the Point of Service will be determined?",
"Is it practically feasible that Service Provider submits an Invoice after execution of work and the Principal Employer makes arrangement for payment of the bill after three months whereas as per point of service rule, the Point of Service stands for one month from the date of issue of raise invoice or services whichever is earlier and the Service Provider has to pay Service Tax @ 18% on value of work done although he has not received any payment from the client till date?",
Clarification is sought for the following:- 1. Intermediary services and services provided by Banking Company to its Account Holders – Intra-state or Inter-state supply?,
Cross border services provided by an Indian branch to offshore branch /HO which are not “Intermediary Services” – are they exempted?,
Pure Agent – Issuance of a circular similar to CBEC Circular on STT/Stamp duty  dated 17th Sept. 2010,
"Charging of GST in case of travel by a passenger to  beyond India's border viz., to Pakistan or Bangladesh?",
Levy of GST in respect of ticket booked in India if place of boarding is outside India?,
,
Dealers below Rs.20 lakhs turnover cannot do business through online portals like Amazon without mandatorily taking registration. Why the additional and discriminatory burden on unregistered dealers?,
Does a Medical Service Provider needs to get registered under GST if his aggregate turnover (u/s 2 (6) is more than Rs. 20 Lakhs but has taxable supply of only an amount of Rs.2.4 Lakh p.a.?,
Whether the registration under GST is compulsory by Transport Service Provider.,
"Will from 1/7/17, my corner kariyanawala charge me GST on goods or services depending on his turnover or both and give me an authentic/printed memo for purchases? ",
How will I know if his turnover is below Rs 20L and if he is exempt from GST and that he will not charge me any GST?,
Will all establishments display a certificate from government (displaying his turnover category) and their GST Registration No. which should appear on all his cash memos/bills?,
"Does a trader who has turnover of less than 20 lakh and are selling on ecommerce websites, have to register for GST?",
"Can a trader whose account has been blocked by ecommerce portal apply for GST and still be eligible to sell for some period of time without GST, till they get their GST registrations completed?",
"Do traders having turnover less than Rs. 20 Lakhs need to get registered under GST? If not, how can they purchase primary goods from other states without having GST Registration No?",
"Do I, a Mutual fund Distributor working in Delhi, need to register under GST, having income Less than Rs. 20 Lakhs but working for offices that are registered in Mumbai and have branch offices in Delhi?",
We are a private ltd. Co. having Head Office at Mumbai and Branch Office in Gujarat and U.P. dealing in  products having Tax Rate @0% dealing intra state and interstate supply: Since the products are 0% GST products are we require to register under GST if turnover is above 20 Lakhs?,
We are purchasing from Haryana and selling in Haryana and also interstate sales. Currently we do not have any GST registration in Haryana. Since the Product is 0% GST are we suppose to register in Haryana?,
We are paying freight charges to our GTA for which currently we are paying service tax at applicable rate. In case of GST what we understand is GTA is exempt from obtaining GST registration no. Are we required to pay GSTN @5% on freight for transportation of goods which are 0%. In case we are not required to obtain registration under GST if we are under 0% products how do we make payment for the same?,
Please clarify the position of GST in case of licensed Tour Guides having registered office in one state but providing services Pan India?,
Under GST regime input tax credit on goods / services can be availed against GST Output liability and there may be zero input tax credit; hence is it necessary to obtain ISD registration? ,
,
How the deemed credit of available stock and Work in progress (WIP) to be availed by an Assessee?,
Is there any provision/ instruction under the CGST Act for taking/verifying the physical stock of the units as on 30th June 2017. It is pertinent to mention here that the Punjab Excise & Taxation department is undertaking the exercise of stock taking/verification of the units which were earlier registered with them. Matter may please be clarified.,
Till the time E-way bill system is fully developed which documents/ procedure should be followed for inter-state supply of goods,
Government has allowed increase in MRP due to additional incidence of GST. Can it be done for stock lying with dealers & retailers or only for stock lying with manufacturer or importers?,
Does tax need to be paid on advances in hand as of June 30th for goods to be supplied from July 1?,
"Builder is demanding balance money due to tax rate changed under GST. Do we have to pay service tax on entire amount of registration under GST, also if abatement provided before GST is available or not?",
How to avail credit on raw material and packing materials stored outside factory on which credit could not have been availed due to the specific restriction in the permission given by the Excise department? Whether these goods can be treated as “in-transit” and credit be availed under Section 140(5) within 30 days of GST implementation?,
Clarity is needed on the period for which details of turnover needs to be given in Table 5(b) and 5(c ) of Form GST TRAN-1.,
The tax paid in excess in one month is allowed to be adjusted against the tax liability due for the next month. What would be treatment of such excess payment of tax (service tax/ VAT) for the last month prior to appointed date?,
The rebate given @ 60% from CGST or SGST at the higher tax  rate will be provided to either whole-seller and retailer or the manufacturer or both?,
There is a GST of 28% on a product of MRP Rs.100 and the costing price of that product is Rs. 90.90/- (taxable value + 14.5% VAT) so the taxable value of that product will be  79.38 and if the GST of 28% will be added to the amount without adding any profit then it will be 79.38+22.22(28% GST) and the total value of the product will be Rs.101.60/- which is higher than MRP. So how it will be sold at the value higher than the MRP?,
"2. Where original invoice pertained to provision of services and was subject to service tax at 14% Swachh Bharat Cess @0.5% and Krishi Kalyan Cess @0.5% and the said services are subject to GST @18% or any other rate?  i. What tax would be reversed in the given case CGST, SGST or IGST?  ii. What would be the rate which would be captured in the credit note since service tax is @15% and GST on the said services is at 18%?  iii. Does the credit note would still be required to capture the reference of the original invoice against which the credit note is issued?",
What shall be impact of tax on the works after 30.06.2017 for which tenders have been processed but acceptance letters not issued?,
Certain fabrics were exempt from payment of central excise duty vide Notification No. 30/2004-CE dated 09-07-2004. This exemption was subject to the condition that the manufacturer has not availed Cenvat credit of duty paid on inputs. Thus the said exemption was not unconditional. Will ITC @40% of CGST be admissible to the taxable person in respect of such fabrics held in stock?,
,
When would advance ruling applications submission begin?,
When are the recommendations of the sector wise task force expected to be submitted to the GST Council. Can representations still be made to the sectoral task force ?,
How will I know whatever GST I pay is really paid to government by various makers/sellers and not pocketed by the seller?,
Is stock transfer possible without paying GST in case of takeover of a Partnership firm by a Private Limited Company ,
,
Whether customers have to furnish any detail or file any return while availing services from taxi aggregators?,
Whether taxi aggregators can issue any other document in lieu of invoice and issue consolidated invoice for such services?,
"Whether credit is restricted under the GST Act, especially for rent-a-cab Service?",
,
